Pair	MG-Sal-WT-1F	MG-Sal-WT-2F	MG-Sal-WT-3M	MG-Sal-WT-4M	MG-Sal-KO-1F	MG-Sal-KO-2F	MG-Sal-KO-3F	MG-LPS-WT-10F	MG-LPS-WT-11F	MG-LPS-WT-12F	MG-LPS-WT-5F	MG-LPS-WT-6F	MG-LPS-WT-11M	MG-LPS-WT-1M	MG-LPS-WT-8M	MG-LPS-WT-9M	MG-LPS-Het-10F	MG-LPS-Het-6F	MG-LPS-Het-9F	MG-LPS-Het-3M	MG-LPS-Het-4M	MG-LPS-Het-5M	MG-LPS-Het-7M	MG-LPS-Het-8M	MG-LPS-KO-12F	MG-LPS-KO-13F	MG-LPS-KO-8F	MG-LPS-KO-9F	MG-LPS-KO-10M	MG-LPS-KO-11M	MG-LPS-KO-14M	PC-Sal-WT-1F	PC-Sal-WT-2F	PC-Sal-WT-3M	PC-Sal-WT-4M	PC-Sal-KO-1F	PC-Sal-KO-2F	PC-Sal-KO-3F	PC-LPS-WT-10F	PC-LPS-WT-11F	PC-LPS-WT-12F	PC-LPS-WT-5F	PC-LPS-WT-6F	PC-LPS-WT-11M	PC-LPS-WT-1M	PC-LPS-WT-8M	PC-LPS-WT-9M	PC-LPS-Het-10F	PC-LPS-Het-6F	PC-LPS-Het-9F	PC-LPS-Het-3M	PC-LPS-Het-4M	PC-LPS-Het-5M	PC-LPS-Het-7M	PC-LPS-Het-8M	PC-LPS-KO-12F	PC-LPS-KO-13F	PC-LPS-KO-8F	PC-LPS-KO-9F	PC-LPS-KO-10M	PC-LPS-KO-11M	PC-LPS-KO-14M
PC-LPS-Het-10F	62.46	70.55	54.97	68.39	83.26	94.69	85.65	74.05	63.61	92.82	62.46	99.9	92.56	59.96	79.97	87.46	84.58	85.15	91.63	84.96	77.24	84.58	94.69	83.97	92.82	73.65	70.8	85.15	95.79	91.26	87.46	85.15	95.96	92.27	87.96	96.52	85.68	88.86	93.07	92.82	89.62	93.07	96.52	96.52	87.46	99.96	92.56	100	93.3	89.97	92.27	96.63	96.63	92.82	89.62	96.63	93.07	93.3	89.62	93.3	89.62	93.07
PC-LPS-Het-6F	64.97	72.69	62.47	66.63	81.2	91.26	82.3	73.31	73.05	86.64	63.12	92.24	96.52	62.46	85.15	85.15	82.73	93.07	89.25	82.57	84.58	83.31	91.26	82.11	89.25	72.69	70.34	82.11	92.27	96.26	85.15	88.86	92.56	88.86	89.25	93.52	79.28	89.25	94.09	93.52	96.74	96.74	93.91	93.72	93.3	96.52	93.52	97.12	100	97.03	99.97	94.09	96.94	96.74	96.94	94.09	93.3	96.94	96.74	96.74	96.94	96.94
PC-LPS-Het-9F	56.21	64.67	49.97	58.79	76.86	88.18	78.52	69.53	69.97	91.96	62.46	90.83	95.79	53.8	81.78	80.91	84.58	91.96	90.87	83.29	84.17	78.23	88.18	77.24	91.96	59.96	68.15	83.97	94.95	95.41	84.96	91.26	91.96	91.96	91.63	96.39	91.96	91.96	96.39	96.39	99.96	99.96	93.07	85.68	95.61	91.63	92.27	96.52	96.52	100	99.96	93.07	99.97	99.96	99.96	96.39	96.26	99.97	92.82	99.96	99.97	99.97
PC-LPS-Het-3M	70.55	74.95	55.52	64.67	79.95	88.18	76.86	74.96	77.73	94.95	73.28	89.91	94.69	49.96	89.96	78.91	79.96	90.43	88.18	83.29	82.3	80.91	88.84	78.91	89.43	68.71	78.91	78.91	94.39	99.95	84.17	84.96	90.43	89.96	90.87	95.19	90.43	85.67	99.95	95.41	99.95	95.41	95.41	90.87	99.95	95.19	99.95	90.87	95.41	95.41	100	95.41	99.95	95.41	99.95	95.41	95.19	95.41	99.95	99.95	99.95	99.95
PC-LPS-Het-4M	68.39	76.15	63.61	66.63	87.45	95.61	87.45	77.75	70.8	96.26	70.55	99.92	92.56	66.62	80.74	88.43	89.25	89.25	96.12	91.26	81.78	85.15	95.61	85.15	96.12	76.15	79.13	88.86	99.96	92.27	92.27	95.79	95.96	95.79	95.96	99.96	95.96	95.96	96.39	92.56	96.26	96.26	99.96	96.26	92.27	99.96	96.26	99.96	96.39	96.39	96.26	100	96.39	96.26	96.26	99.96	99.96	96.39	96.26	96.39	96.39	96.39
PC-LPS-Het-5M	66.63	72.69	60.84	63.12	83.29	91.26	81.2	74.05	74.97	92.56	68.39	92.79	96.39	62.46	84.58	84.58	86.18	93.3	92.27	86.92	86.32	81.45	91.63	81.45	92.82	72.69	73.05	85.15	95.79	96.26	88.86	91.63	91.96	91.96	91.96	96.39	91.96	92.27	99.96	96.39	99.97	99.96	96.74	88.86	96.12	96.39	96.63	96.63	99.97	99.97	99.97	93.3	100	99.97	99.97	96.52	96.39	99.97	96.52	99.97	99.97	99.97
PC-LPS-Het-7M	69.97	74.96	63.61	63.12	88.18	95.41	87.45	73.05	72.69	92.27	66.63	91.59	96.12	66.62	84.58	87.96	83.97	92.27	91.96	84.96	85.67	79.97	95.61	79.13	92.27	74.96	74.97	84.58	95.96	96.12	91.26	92.82	96.12	92.27	96.12	96.52	96.52	96.12	99.96	96.52	99.97	99.97	96.52	96.52	96.12	96.26	99.97	96.52	99.97	99.97	99.97	92.82	99.97	100	99.97	96.52	96.39	99.96	99.97	99.97	99.97	99.97
PC-LPS-Het-8M	66.63	72.18	57.86	62.46	81.2	89.43	78.52	73.88	74.96	91.63	68.71	91.59	95.79	57.1	86.92	81.78	83.3	91.26	91.26	84.96	84.17	81.78	89.96	80.91	91.26	72.18	69.97	83.3	95.19	99.95	85.67	91.63	91.63	91.26	91.63	95.96	91.96	91.63	99.96	95.96	99.96	99.96	95.96	91.96	95.41	95.61	99.96	95.96	99.96	99.96	99.96	91.96	99.96	99.96	100	95.96	95.79	99.96	99.96	99.96	99.96	99.96
PC-LPS-KO-12F	68.39	74.96	61.88	68.39	87.45	94.95	87.45	78.54	69.53	92.82	70.55	99.92	92.56	66.62	81.45	87.96	88.43	89.25	96.26	89.96	82.57	85.15	94.95	83.3	95.96	72.18	73.05	88.43	99.96	92.27	91.63	92.82	92.56	96.12	92.82	93.3	82.73	92.56	96.52	93.52	92.82	89.97	99.97	96.63	88.43	99.96	89.62	99.97	96.74	93.72	96.52	96.63	93.52	89.62	89.62	100	93.07	89.97	93.52	96.74	93.3	96.63
PC-LPS-KO-13F	69.97	74.96	59.06	63.12	88.84	95.19	88.84	73.88	68.15	95.61	73.65	99.92	91.26	64.67	78.23	86.32	86.32	82.57	95.19	89.43	76.15	82.57	95.41	81.78	95.61	74.96	78.23	86.92	99.95	90.87	90.43	91.96	95.61	95.41	95.61	99.96	95.96	91.26	95.79	91.96	95.96	91.96	99.96	96.12	90.87	99.96	96.12	96.12	92.27	92.27	92.27	95.79	96.12	92.27	96.12	99.96	100	91.63	92.27	95.96	96.12	96.12
PC-LPS-KO-8F	63.12	68.39	52.36	63.12	79.95	89.96	79.95	70.8	72.69	91.63	64.67	90.83	95.61	53.3	83.3	82.57	83.3	87.46	90.43	84.96	84.96	79.13	89.96	78.23	91.26	66.63	72.69	83.3	95.19	95.61	86.92	86.32	90.87	90.43	91.26	95.96	90.87	86.92	99.96	95.96	99.96	95.96	95.79	91.63	95.41	95.61	99.96	91.96	95.96	95.96	95.61	95.96	99.96	95.96	99.96	95.96	95.79	100	99.96	99.96	99.96	99.96
PC-LPS-KO-9F	71.39	77.24	65.19	68.15	89.43	95.61	89.96	73.51	76.89	85.27	71.39	92.79	96.94	70.55	85.15	88.86	86.64	94.09	93.91	87.96	90.29	78.1	95.79	82.11	93.07	78.23	73.31	86.18	96.12	96.52	92.27	93.52	96.84	93.91	96.84	88.21	84.82	96.63	99.97	97.48	99.96	89.72	97.34	97.03	96.84	96.63	93.91	97.12	99.97	94.71	99.97	94.57	97.41	89.45	99.97	92.28	88.86	88.86	100	99.97	99.97	99.97
PC-LPS-KO-10M	71.39	77.24	65.19	69.97	88.84	95.79	88.18	78.1	76.89	84.82	68.39	92.24	96.39	68.71	85.68	88.86	86.64	93.72	93.72	85.67	88.86	78.76	95.79	81.45	93.07	76.15	72.39	86.64	96.12	96.94	92.27	93.52	96.63	93.07	96.63	88.21	87.07	96.94	97.03	97.12	99.97	88.86	94.26	94.09	96.74	93.3	90.29	97.2	97.2	94.42	99.97	94.26	97.2	88.86	99.97	91.64	88.55	88.55	97.2	100	99.97	99.97
PC-LPS-KO-11M	71.39	78.23	66.64	66.63	88.84	95.41	88.18	74.97	70.8	92.82	68.39	85.65	96.63	72.18	84.58	88.43	83.31	90.29	92.82	85.67	83.3	79.97	95.61	81.45	93.07	74.96	73.05	82.73	95.96	96.26	92.27	85.68	96.52	93.3	96.63	94.09	89.62	96.52	94.26	97.2	99.97	94.71	91.64	91.64	93.52	93.52	91.4	97.2	97.27	94.57	99.97	94.09	99.97	97.12	96.94	97.34	94.26	97.03	94.71	97.27	100	99.97
PC-LPS-KO-14M	66.63	72.69	60.84	61.88	83.29	91.26	82.3	75.84	74.97	92.82	69.97	93.27	96.39	64.67	84.58	84.58	86.64	93.07	92.56	86.32	87.46	82.11	91.63	79.97	93.07	72.69	74.05	85.68	95.96	96.39	87.96	92.82	93.07	93.52	93.07	93.52	89.97	93.07	96.63	96.74	99.97	96.94	93.91	87.07	96.39	93.52	90.88	97.03	97.03	96.94	99.97	93.72	99.97	96.84	99.97	96.94	93.52	96.94	93.72	99.97	99.97	100
